n,m,L,micros,ms,z,lb,percent
20,5,100,25345,25,1828,1121,0.630687
20,5,100,30371,30,1865,1207,0.545153
20,5,100,25194,25,1630,1000,0.63
20,5,100,25315,25,1967,1177,0.671198
20,5,100,25747,25,1878,1107,0.696477
20,5,100,25222,25,1949,1122,0.737077
20,5,100,25195,25,1795,1152,0.55816
20,5,100,25506,25,1883,1097,0.7165
20,5,100,25258,25,1883,1138,0.654657
20,5,100,25604,25,1695,1009,0.679881
20,10,100,33528,33,2445,1178,1.07555
20,10,100,40650,40,2482,1177,1.10875
20,10,100,33289,33,2297,1217,0.887428
20,10,100,32795,32,2141,1071,0.999066
20,10,100,33286,33,2331,1154,1.01993
20,10,100,33422,33,2464,1099,1.24204
20,10,100,36958,36,2421,1194,1.02764
20,10,100,33076,33,2374,1108,1.1426
20,10,100,49324,49,2474,1251,0.977618
20,10,100,33582,33,2433,1158,1.10104
20,20,100,49634,49,3434,1217,1.82169
20,20,100,48948,48,3192,1084,1.94465
20,20,100,84206,84,3405,1159,1.93788
20,20,100,49593,49,3355,1226,1.73654
20,20,100,49007,49,3464,1188,1.91582
20,20,100,49369,49,3394,1218,1.78654
20,20,100,49275,49,3545,1175,2.01702
20,20,100,49266,49,3186,1288,1.4736
20,20,100,59844,59,3384,1183,1.86052
20,20,100,60831,60,3370,1223,1.75552
50,5,100,105050,105,3793,2674,0.418474
50,5,100,103025,103,4082,2742,0.488694
50,5,100,136677,136,3516,2551,0.378283
50,5,100,103234,103,3936,2679,0.469205
50,5,100,151861,151,4186,2784,0.503592
50,5,100,103169,103,4158,2744,0.515306
50,5,100,103220,103,4124,2625,0.571048
50,5,100,103406,103,3892,2650,0.468679
50,5,100,152201,152,3647,2469,0.477116
50,5,100,147555,147,3876,2718,0.426049
50,10,100,158123,158,4893,2730,0.792308
50,10,100,155310,155,4786,2538,0.885737
50,10,100,157749,157,4788,2683,0.78457
50,10,100,284197,284,4783,2784,0.718032
50,10,100,223956,223,4875,2718,0.793598
50,10,100,154553,154,4792,2694,0.778768
50,10,100,332407,332,4767,2779,0.715365
50,10,100,283727,283,4753,2780,0.709712
50,10,100,158884,158,4742,2653,0.78741
50,10,100,158410,158,4687,2763,0.696345
50,20,100,259541,259,6280,2897,1.16776
50,20,100,385109,385,6090,2894,1.10435
50,20,100,383898,383,6089,2751,1.21338
50,20,100,314257,314,6079,2800,1.17107
50,20,100,258372,258,6072,2793,1.17401
50,20,100,449707,449,5813,2918,0.992118
50,20,100,333921,333,6094,2876,1.11892
50,20,100,323568,323,5830,2813,1.07252
50,20,100,348161,348,5951,2912,1.04361
50,20,100,298376,298,6053,2829,1.13963
100,5,100,348046,348,7669,5381,0.4252
100,5,100,364222,364,7670,5162,0.485858
100,5,100,423170,423,7664,5108,0.500392
100,5,100,478099,478,7159,4935,0.450659
100,5,100,506621,506,7659,5174,0.480286
100,5,100,369767,369,7382,5032,0.467011
100,5,100,399602,399,7837,5181,0.512642
100,5,100,527136,527,7566,5003,0.512293
100,5,100,509127,509,7770,5363,0.448816
100,5,100,405182,405,7891,5254,0.501903
100,10,100,638044,638,8930,5636,0.584457
100,10,100,717451,717,8773,5182,0.692976
100,10,100,689539,689,8628,5500,0.568727
100,10,100,603505,603,9156,5539,0.653006
100,10,100,827907,827,8744,5290,0.65293
100,10,100,723090,723,8398,5114,0.642159
100,10,100,827875,827,8541,5401,0.581374
100,10,100,672271,672,8744,5333,0.639602
100,10,100,649497,649,8728,5566,0.568092
100,10,100,796868,796,8874,5576,0.591463
100,20,100,1219333,1219,10194,5357,0.902931
100,20,100,1128590,1128,10245,5500,0.862727
100,20,100,1324932,1324,10263,5536,0.853866
100,20,100,1218362,1218,10214,5614,0.81938
100,20,100,1098841,1098,10040,5445,0.843893
100,20,100,1262805,1262,10384,5584,0.859599
100,20,100,1167491,1167,10118,5507,0.837298
100,20,100,1169682,1169,10068,5472,0.839912
100,20,100,1569860,1569,10221,5395,0.894532
100,20,100,1213151,1213,10285,5772,0.781878
200,10,100,2587790,2587,16527,10616,0.556801
200,10,100,2562289,2562,16296,10230,0.592962
200,10,100,2546801,2546,16472,10699,0.539583
200,10,100,2789092,2789,16145,10647,0.51639
200,10,100,2930477,2930,16061,10313,0.557355
200,10,100,2742037,2742,15932,10124,0.573686
200,10,100,2693060,2693,16079,10612,0.515172
200,10,100,2691933,2691,16483,10480,0.572805
200,10,100,2659262,2659,15935,10259,0.55327
200,10,100,2949130,2949,15815,10451,0.513252
200,20,100,4710420,4710,17899,10498,0.704991
200,20,100,5095997,5095,18098,10445,0.732695
200,20,100,4876303,4876,18664,10642,0.753806
200,20,100,4761494,4761,18194,10616,0.713828
200,20,100,4799213,4799,18259,10674,0.710605
200,20,100,4723343,4723,18531,10653,0.73951
200,20,100,4976920,4976,18213,10764,0.692029
200,20,100,5007936,5007,18462,10597,0.742191
200,20,100,4893582,4893,18198,10384,0.752504
200,20,100,5123412,5123,18012,10607,0.698124
500,20,100,30236478,30236,40788,25464,0.601791
500,20,100,30575813,30575,42091,25898,0.625261
500,20,100,30042749,30042,41761,25789,0.619334
500,20,100,31411017,31411,41521,25903,0.602942
500,20,100,30662797,30662,40892,25693,0.591562
500,20,100,31011542,31011,41277,25841,0.597345
500,20,100,31243975,31243,41168,25793,0.596092
500,20,100,30865202,30865,41835,26012,0.608296
500,20,100,30793837,30793,41590,25405,0.637079
