n,m,L,micros,ms,z,lb,percent
20,5,100,21445,21,1718,1121,0.53256
20,5,100,21064,21,1869,1207,0.548467
20,5,100,20978,20,1848,1000,0.848
20,5,100,21139,21,1864,1177,0.583687
20,5,100,21362,21,1740,1107,0.571816
20,5,100,21108,21,1729,1122,0.540998
20,5,100,20942,20,1743,1152,0.513021
20,5,100,21126,21,1759,1097,0.603464
20,5,100,21149,21,1916,1138,0.683656
20,5,100,21243,21,1684,1009,0.668979
20,10,100,26430,26,2370,1178,1.01188
20,10,100,26369,26,2566,1177,1.18012
20,10,100,26534,26,2289,1217,0.880855
20,10,100,26327,26,2330,1071,1.17554
20,10,100,26584,26,2270,1154,0.967071
20,10,100,26426,26,2370,1099,1.15651
20,10,100,26516,26,2088,1194,0.748744
20,10,100,26652,26,2258,1108,1.03791
20,10,100,26208,26,2285,1251,0.826539
20,10,100,26724,26,2480,1158,1.14162
20,20,100,38192,38,3419,1217,1.80937
20,20,100,37558,37,3440,1084,2.17343
20,20,100,37882,37,3466,1159,1.99051
20,20,100,38400,38,3349,1226,1.73165
20,20,100,37898,37,3481,1188,1.93013
20,20,100,37927,37,3429,1218,1.81527
20,20,100,38178,38,3427,1175,1.9166
20,20,100,37967,37,3293,1288,1.55668
20,20,100,37795,37,3455,1183,1.92054
20,20,100,38002,38,3347,1223,1.73671
50,5,100,80245,80,3858,2674,0.442782
50,5,100,78071,78,4293,2742,0.565646
50,5,100,78617,78,4071,2551,0.595845
50,5,100,77903,77,4199,2679,0.567376
50,5,100,78574,78,4271,2784,0.534124
50,5,100,77589,77,4068,2744,0.482507
50,5,100,78493,78,3978,2625,0.515429
50,5,100,78040,78,3983,2650,0.503019
50,5,100,78347,78,3735,2469,0.512758
50,5,100,77247,77,4199,2718,0.544886
50,10,100,113240,113,4841,2730,0.77326
50,10,100,112506,112,4582,2538,0.805359
50,10,100,113256,113,4687,2683,0.746925
50,10,100,112463,112,4850,2784,0.742098
50,10,100,112515,112,4855,2718,0.78624
50,10,100,111590,111,4785,2694,0.776169
50,10,100,113133,113,4951,2779,0.781576
50,10,100,111422,111,4764,2780,0.713669
50,10,100,113690,113,4968,2653,0.872597
50,10,100,111977,111,4981,2763,0.802751
50,20,100,182248,182,6222,2897,1.14774
50,20,100,181890,181,5838,2894,1.01728
50,20,100,181806,181,6064,2751,1.20429
50,20,100,180952,180,6015,2800,1.14821
50,20,100,182369,182,6099,2793,1.18367
50,20,100,182278,182,6225,2918,1.13331
50,20,100,182358,182,6170,2876,1.14534
50,20,100,182582,182,6042,2813,1.14788
50,20,100,182789,182,5976,2912,1.0522
50,20,100,183189,183,6269,2829,1.21598
100,5,100,239728,239,7998,5381,0.486341
100,5,100,239382,239,7894,5162,0.529252
100,5,100,239334,239,7799,5108,0.526821
100,5,100,242715,242,7381,4935,0.495643
100,5,100,240066,240,7691,5174,0.486471
100,5,100,240472,240,7597,5032,0.509738
100,5,100,240047,240,7795,5181,0.504536
100,5,100,239030,239,7797,5003,0.558465
100,5,100,236359,236,7998,5363,0.491329
100,5,100,239020,239,7795,5254,0.483632
100,10,100,379462,379,8892,5636,0.577715
100,10,100,379655,379,8438,5182,0.628329
100,10,100,381370,381,8884,5500,0.615273
100,10,100,374907,374,9093,5539,0.641632
100,10,100,377443,377,8657,5290,0.636484
100,10,100,375269,375,8556,5114,0.673054
100,10,100,387144,387,8598,5401,0.591927
100,10,100,374475,374,8770,5333,0.644478
100,10,100,382683,382,8999,5566,0.61678
100,10,100,375877,375,8694,5576,0.559182
100,20,100,647946,647,10189,5357,0.901997
100,20,100,650357,650,10329,5500,0.878
100,20,100,651155,651,10283,5536,0.857478
100,20,100,649649,649,10472,5614,0.865337
100,20,100,650680,650,10167,5445,0.867218
100,20,100,674346,674,10288,5584,0.842407
100,20,100,678279,678,10211,5507,0.854186
100,20,100,649925,649,10571,5472,0.931835
100,20,100,671777,671,10179,5395,0.886747
100,20,100,656951,656,10457,5772,0.811677
200,10,100,1369899,1369,15999,10616,0.507065
200,10,100,1371099,1371,16199,10230,0.58348
200,10,100,1369193,1369,16198,10699,0.513973
200,10,100,1359072,1359,16295,10647,0.530478
200,10,100,1371581,1371,16393,10313,0.589547
200,10,100,1358165,1358,16059,10124,0.586231
200,10,100,1361515,1361,16996,10612,0.601583
200,10,100,1364806,1364,16699,10480,0.593416
200,10,100,1378260,1378,16192,10259,0.578321
200,10,100,1362780,1362,16676,10451,0.595637
200,20,100,2507139,2507,18273,10498,0.740617
200,20,100,2457676,2457,18279,10445,0.750024
200,20,100,2453014,2453,18768,10642,0.763578
200,20,100,2461390,2461,18189,10616,0.713357
200,20,100,2504223,2504,18099,10674,0.695616
200,20,100,2453965,2453,18577,10653,0.743828
200,20,100,2450858,2450,18252,10764,0.695652
200,20,100,2506237,2506,18097,10597,0.707747
200,20,100,2471523,2471,18292,10384,0.761556
200,20,100,2456034,2456,18180,10607,0.713962
500,20,100,15096365,15096,41069,25464,0.612826
500,20,100,15084086,15084,41897,25898,0.61777
500,20,100,15085931,15085,41740,25789,0.61852
500,20,100,15062456,15062,41499,25903,0.602092
500,20,100,15113643,15113,41178,25693,0.602693
500,20,100,15053548,15053,41290,25841,0.597848
500,20,100,15167802,15167,41386,25793,0.604544
500,20,100,15073573,15073,41455,26012,0.593688
500,20,100,15163315,15163,41099,25405,0.617752
