n,m,L,micros,ms,z,lb,percent
20,5,100,1715,1,1659,1121,0.479929
20,5,100,1758,1,1744,1207,0.444905
20,5,100,1699,1,1443,1000,0.443
20,5,100,1724,1,1649,1177,0.40102
20,5,100,1710,1,1650,1107,0.490515
20,5,100,1737,1,1515,1122,0.350267
20,5,100,1718,1,1585,1152,0.375868
20,5,100,1747,1,1644,1097,0.498633
20,5,100,1743,1,1676,1138,0.472759
20,5,100,1771,1,1500,1009,0.48662
20,10,100,5850,5,2118,1178,0.797963
20,10,100,11962,11,2264,1177,0.923534
20,10,100,12436,12,2156,1217,0.771569
20,10,100,47489,47,1948,1071,0.818861
20,10,100,3543,3,2027,1154,0.756499
20,10,100,23216,23,1933,1099,0.758872
20,10,100,30474,30,1986,1194,0.663317
20,10,100,17151,17,2031,1108,0.833032
20,10,100,3516,3,2106,1251,0.683453
20,10,100,23584,23,2167,1158,0.87133
20,20,100,46344,46,3174,1217,1.60805
20,20,100,60016,60,2952,1084,1.72325
20,20,100,65612,65,3280,1159,1.83003
20,20,100,56878,56,3084,1226,1.5155
20,20,100,75035,75,3155,1188,1.65572
20,20,100,34975,34,3087,1218,1.53448
20,20,100,48480,48,3256,1175,1.77106
20,20,100,41031,41,3086,1288,1.39596
20,20,100,69228,69,3178,1183,1.68639
20,20,100,10773,10,2984,1223,1.4399
50,5,100,37017,37,3366,2674,0.258788
50,5,100,41352,41,3676,2742,0.340627
50,5,100,285189,285,3476,2551,0.362603
50,5,100,317209,317,3584,2679,0.337813
50,5,100,252889,252,3700,2784,0.329023
50,5,100,126843,126,3824,2744,0.393586
50,5,100,255870,255,3664,2625,0.39581
50,5,100,48939,48,3678,2650,0.387925
50,5,100,117373,117,3400,2469,0.377076
50,5,100,128094,128,3728,2718,0.371597
50,10,100,340122,340,4356,2730,0.595604
50,10,100,138549,138,4133,2538,0.628448
50,10,100,551052,551,4052,2683,0.51025
50,10,100,309705,309,4281,2784,0.537716
50,10,100,319734,319,4350,2718,0.600442
50,10,100,128614,128,4389,2694,0.629176
50,10,100,541379,541,4344,2779,0.563152
50,10,100,149415,149,4177,2780,0.502518
50,10,100,461269,461,4124,2653,0.554467
50,10,100,317405,317,4353,2763,0.575461
50,20,100,192393,192,5535,2897,0.910597
50,20,100,394869,394,5564,2894,0.922598
50,20,100,558831,558,5421,2751,0.970556
50,20,100,518617,518,5564,2800,0.987143
50,20,100,246337,246,5177,2793,0.853562
50,20,100,354797,354,5366,2918,0.838931
50,20,100,323914,323,5473,2876,0.90299
50,20,100,582971,582,5371,2813,0.909349
50,20,100,576432,576,5558,2912,0.908654
50,20,100,609605,609,5510,2829,0.947685
100,5,100,406041,406,7061,5381,0.31221
100,5,100,449855,449,6944,5162,0.345215
100,5,100,498077,498,6800,5108,0.331245
100,5,100,211473,211,6583,4935,0.333941
100,5,100,465144,465,6858,5174,0.325474
100,5,100,459374,459,6672,5032,0.325914
100,5,100,392782,392,6798,5181,0.312102
100,5,100,595079,595,6666,5003,0.332401
100,5,100,377838,377,7189,5363,0.340481
100,5,100,589509,589,6878,5254,0.309098
100,10,100,904505,904,8031,5636,0.424947
100,10,100,853615,853,7555,5182,0.457931
100,10,100,897905,897,7973,5500,0.449636
100,10,100,895514,895,8074,5539,0.457664
100,10,100,892859,892,7731,5290,0.461437
100,10,100,863007,863,7355,5114,0.438209
100,10,100,864839,864,7731,5401,0.431402
100,10,100,781929,781,7852,5333,0.472342
100,10,100,725720,725,7968,5566,0.431549
100,10,100,933950,933,7942,5576,0.424319
100,20,100,1891328,1891,9252,5357,0.727086
100,20,100,1664645,1664,9187,5500,0.670364
100,20,100,1656248,1656,9224,5536,0.666185
100,20,100,1538905,1538,9139,5614,0.627895
100,20,100,1954383,1954,9274,5445,0.703214
100,20,100,1833578,1833,9268,5584,0.659742
100,20,100,1686516,1686,9246,5507,0.678954
100,20,100,1814291,1814,9444,5472,0.725877
100,20,100,1681166,1681,9323,5395,0.728082
100,20,100,1863965,1863,9307,5772,0.612439
200,10,100,6145660,6145,14573,10616,0.372739
200,10,100,6658442,6658,14600,10230,0.427175
200,10,100,6666596,6666,14849,10699,0.387887
200,10,100,6630172,6630,14334,10647,0.346295
200,10,100,6560029,6560,14455,10313,0.401629
200,10,100,6281980,6281,13870,10124,0.370012
200,10,100,6364504,6364,14749,10612,0.389842
200,10,100,6537265,6537,14536,10480,0.387023
200,10,100,6403585,6403,14410,10259,0.40462
200,10,100,6703318,6703,14489,10451,0.386375
200,20,100,16480199,16480,16000,10498,0.5241
200,20,100,16249701,16249,16562,10445,0.585639
200,20,100,16137344,16137,16395,10642,0.540594
200,20,100,16076983,16076,16608,10616,0.564431
200,20,100,16420657,16420,16385,10674,0.535038
200,20,100,15917943,15917,16511,10653,0.549892
200,20,100,16115864,16115,16817,10764,0.562337
200,20,100,15643448,15643,16578,10597,0.564405
200,20,100,15619809,15619,16233,10384,0.56327
200,20,100,16102523,16102,16490,10607,0.554634
500,20,100,255157830,255157,36726,25464,0.442271
500,20,100,255174112,255174,37417,25898,0.444783
500,20,100,257089165,257089,37275,25789,0.445384
500,20,100,254333979,254333,37455,25903,0.445972
500,20,100,255815328,255815,36694,25693,0.428171
500,20,100,255974395,255974,37532,25841,0.452421
500,20,100,256908120,256908,36917,25793,0.43128
500,20,100,255127594,255127,37597,26012,0.445371
500,20,100,255003345,255003,36927,25405,0.453533
