n,m,L,micros,ms,z,lb,percent
20,5,100,1307550,1307,1581,1121,0.410348
20,5,100,1294475,1294,1751,1207,0.450704
20,5,100,1253630,1253,1432,1000,0.432
20,5,100,1255957,1255,1688,1177,0.434155
20,5,100,1214478,1214,1572,1107,0.420054
20,5,100,1266137,1266,1545,1122,0.377005
20,5,100,1348575,1348,1541,1152,0.337674
20,5,100,1265457,1265,1585,1097,0.44485
20,5,100,1248525,1248,1584,1138,0.391916
20,5,100,1273274,1273,1459,1009,0.445986
20,10,100,2345965,2345,2170,1178,0.842105
20,10,100,2284927,2284,2288,1177,0.943925
20,10,100,2279466,2279,2156,1217,0.771569
20,10,100,2287531,2287,2027,1071,0.892624
20,10,100,2318572,2318,1993,1154,0.727036
20,10,100,2433759,2433,1951,1099,0.77525
20,10,100,2301654,2301,1985,1194,0.662479
20,10,100,2372071,2372,2045,1108,0.845668
20,10,100,2456156,2456,2220,1251,0.77458
20,10,100,2500607,2500,2265,1158,0.955959
20,20,100,5240168,5240,3256,1217,1.675431
20,20,100,5584286,5584,3083,1084,1.844096
20,20,100,8594618,8594,3275,1159,1.825712
20,20,100,7895853,7895,3127,1226,1.550571
20,20,100,5958007,5958,3187,1188,1.68266
20,20,100,4803908,4803,3135,1218,1.573892
20,20,100,4509154,4509,3192,1175,1.716596
20,20,100,4514624,4514,3163,1288,1.455745
20,20,100,4460075,4460,3173,1183,1.682164
20,20,100,4446099,4446,3091,1223,1.527392
50,5,100,5614552,5614,3273,2674,0.224009
50,5,100,5833678,5833,3611,2742,0.316922
50,5,100,5723825,5723,3369,2551,0.320659
50,5,100,6069055,6069,3590,2679,0.340052
50,5,100,6446532,6446,3658,2784,0.313937
50,5,100,5845038,5845,3643,2744,0.327624
50,5,100,5558686,5558,3552,2625,0.353143
50,5,100,5684602,5684,3510,2650,0.324528
50,5,100,6122735,6122,3293,2469,0.333738
50,5,100,5928071,5928,3675,2718,0.352097
50,10,100,10148611,10148,4242,2730,0.553846
50,10,100,10107455,10107,4195,2538,0.652876
50,10,100,10164051,10164,4183,2683,0.559076
50,10,100,15856336,15856,4413,2784,0.585129
50,10,100,14908115,14908,4428,2718,0.629139
50,10,100,10313587,10313,4359,2694,0.61804
50,10,100,10045866,10045,4273,2779,0.537603
50,10,100,10100836,10100,4366,2780,0.570504
50,10,100,9874398,9874,4267,2653,0.608368
50,10,100,9869999,9869,4469,2763,0.617445
50,20,100,18741547,18741,5791,2897,0.998964
50,20,100,18341590,18341,5654,2894,0.953697
50,20,100,18556004,18556,5431,2751,0.974191
50,20,100,19076391,19076,5769,2800,1.060357
50,20,100,18659594,18659,5495,2793,0.967419
50,20,100,18322965,18322,5585,2918,0.913982
50,20,100,18517910,18517,5530,2876,0.922809
50,20,100,18215726,18215,5634,2813,1.002844
50,20,100,18260812,18260,5625,2912,0.931662
50,20,100,18113492,18113,5673,2829,1.005302
100,5,100,18918795,18918,6751,5381,0.2546
100,5,100,19463533,19463,6624,5162,0.283224
100,5,100,19840780,19840,6634,5108,0.298747
100,5,100,19481446,19481,6481,4935,0.313273
100,5,100,19495396,19495,6755,5174,0.305566
100,5,100,19596124,19596,6390,5032,0.269873
100,5,100,19644674,19644,6518,5181,0.258058
100,5,100,19712945,19712,6549,5003,0.309015
100,5,100,19605141,19605,6973,5363,0.300205
100,5,100,18898727,18898,6692,5254,0.273696
100,10,100,34374511,34374,8265,5636,0.466466
100,10,100,34046867,34046,7538,5182,0.454651
100,10,100,34408445,34408,8036,5500,0.461091
100,10,100,33858746,33858,8226,5539,0.485106
100,10,100,33548926,33548,7819,5290,0.478072
100,10,100,33429647,33429,7470,5114,0.460696
100,10,100,33522115,33522,7749,5401,0.434734
100,10,100,33572356,33572,7998,5333,0.499719
