n,m,L,micros,ms,z,lb,percent
20,5,100,1753798,1753,1581,1121,0.410348
20,5,100,2131991,2131,1682,1207,0.393538
20,5,100,1659343,1659,1455,1000,0.455
20,5,100,1756274,1756,1687,1177,0.433305
20,5,100,1902760,1902,1650,1107,0.490515
20,5,100,1614103,1614,1608,1122,0.433155
20,5,100,2130023,2130,1535,1152,0.332465
20,5,100,1682555,1682,1659,1097,0.512306
20,5,100,1608415,1608,1738,1138,0.527241
20,5,100,2195896,2195,1523,1009,0.509415
20,10,100,1860524,1860,2094,1178,0.777589
20,10,100,1889984,1889,2344,1177,0.991504
20,10,100,1869744,1869,2032,1217,0.66968
20,10,100,1868132,1868,1963,1071,0.832866
20,10,100,1916309,1916,2027,1154,0.756499
20,10,100,2033894,2033,1949,1099,0.77343
20,10,100,1881196,1881,2020,1194,0.691792
20,10,100,2008206,2008,2159,1108,0.948556
20,10,100,1883906,1883,2150,1251,0.718625
20,10,100,2440071,2440,2298,1158,0.984456
20,20,100,2401539,2401,3133,1217,1.57436
20,20,100,2490770,2490,2927,1084,1.70018
20,20,100,2393601,2393,3389,1159,1.92407
20,20,100,2474924,2474,3131,1226,1.55383
20,20,100,3035801,3035,3194,1188,1.68855
20,20,100,2404990,2404,3154,1218,1.58949
20,20,100,2421846,2421,3114,1175,1.65021
20,20,100,2416813,2416,3056,1288,1.37267
20,20,100,2914892,2914,3078,1183,1.60186
20,20,100,2375631,2375,2984,1223,1.4399
50,5,100,4979807,4979,3571,2674,0.335453
50,5,100,4962352,4962,3631,2742,0.324216
50,5,100,5772237,5772,3295,2551,0.29165
50,5,100,4875248,4875,3536,2679,0.319895
50,5,100,5002338,5002,3585,2784,0.287716
50,5,100,4953232,4953,3720,2744,0.355685
50,5,100,4936944,4936,3675,2625,0.4
50,5,100,5155599,5155,3570,2650,0.34717
50,5,100,6205442,6205,3364,2469,0.362495
50,5,100,4940133,4940,3587,2718,0.31972
50,10,100,5616208,5616,4446,2730,0.628571
50,10,100,5605002,5605,4245,2538,0.672577
50,10,100,5671226,5671,3958,2683,0.475214
50,10,100,5916400,5916,4121,2784,0.480244
50,10,100,5730948,5730,4150,2718,0.526858
50,10,100,5505836,5505,4189,2694,0.554937
50,10,100,5584367,5584,4473,2779,0.609572
50,10,100,5967944,5967,4188,2780,0.506475
50,10,100,5650655,5650,4067,2653,0.532982
50,10,100,5703099,5703,4142,2763,0.499095
50,20,100,6931828,6931,5475,2897,0.889886
50,20,100,8052075,8052,5238,2894,0.809952
50,20,100,7596509,7596,5121,2751,0.861505
50,20,100,6957969,6957,5559,2800,0.985357
50,20,100,7664199,7664,5352,2793,0.916219
50,20,100,7673130,7673,5035,2918,0.725497
50,20,100,7764411,7764,5414,2876,0.882476
50,20,100,6967524,6967,5223,2813,0.856737
50,20,100,7048428,7048,5338,2912,0.833104
50,20,100,7015396,7015,5285,2829,0.868151
100,5,100,11392836,11392,6981,5381,0.297343
100,5,100,13166961,13166,6524,5162,0.263851
100,5,100,12024811,12024,6479,5108,0.268403
100,5,100,11813957,11813,6389,4935,0.29463
100,5,100,11470463,11470,6972,5174,0.347507
100,5,100,11473633,11473,6588,5032,0.309221
100,5,100,11716884,11716,6781,5181,0.308821
100,5,100,11531907,11531,6468,5003,0.292824
100,5,100,11799666,11799,6928,5363,0.291814
100,5,100,13151848,13151,6688,5254,0.272935
100,10,100,13347150,13347,7865,5636,0.395493
100,10,100,12843369,12843,7270,5182,0.402933
100,10,100,14998702,14998,7396,5500,0.344727
100,10,100,12629027,12629,8151,5539,0.471565
100,10,100,13561253,13561,7598,5290,0.436295
100,10,100,13285818,13285,7178,5114,0.403598
100,10,100,12656720,12656,7538,5401,0.395667
100,10,100,12688164,12688,7772,5333,0.457341
100,10,100,12653064,12653,7895,5566,0.418433
100,10,100,12657863,12657,7745,5576,0.388989
100,20,100,15852231,15852,8934,5357,0.667724
100,20,100,16025603,16025,8951,5500,0.627455
100,20,100,17048955,17048,8942,5536,0.615246
100,20,100,16078716,16078,8661,5614,0.54275
100,20,100,15838766,15838,9045,5445,0.661157
100,20,100,15713991,15713,9322,5584,0.669413
100,20,100,15908279,15908,9020,5507,0.637915
100,20,100,15834272,15834,9438,5472,0.724781
100,20,100,15648072,15648,9235,5395,0.71177
100,20,100,15950209,15950,9036,5772,0.565489
200,10,100,26365540,26365,14373,10616,0.3539
200,10,100,24537858,24537,14288,10230,0.396676
200,10,100,25986113,25986,14189,10699,0.326199
200,10,100,20537046,20537,13757,10647,0.292101
200,10,100,25157743,25157,14367,10313,0.393096
200,10,100,27429876,27429,13654,10124,0.348676
200,10,100,25927496,25927,14432,10612,0.35997
200,10,100,26894363,26894,14160,10480,0.351145
200,10,100,24980294,24980,13654,10259,0.330929
200,10,100,24959420,24959,14040,10451,0.343412
200,20,100,33979798,33979,16019,10498,0.52591
200,20,100,33874857,33874,16234,10445,0.554236
200,20,100,34071123,34071,15952,10642,0.498966
200,20,100,33994977,33994,16225,10616,0.528353
200,20,100,28720096,28720,15860,10674,0.485853
200,20,100,34076208,34076,16059,10653,0.507463
200,20,100,30889075,30889,16456,10764,0.5288
200,20,100,33795918,33795,16378,10597,0.545532
200,20,100,34146360,34146,16325,10384,0.57213
200,20,100,33858974,33858,16365,10607,0.542849
500,20,100,65623057,65623,36027,25464,0.414821
500,20,100,70615426,70615,36861,25898,0.423315
500,20,100,63931588,63931,36540,25789,0.416883
500,20,100,63841523,63841,36547,25903,0.410918
500,20,100,65006443,65006,35977,25693,0.400265
500,20,100,62589909,62589,36213,25841,0.401378
500,20,100,66396423,66396,36524,25793,0.416043
500,20,100,62829935,62829,36218,26012,0.392357
500,20,100,62454289,62454,35866,25405,0.411769
