n,m,L,micros,ms,z,lb,percent
20,5,100,359166,359,1981,1121,0.434124
20,5,100,322129,322,1953,1207,0.381976
20,5,100,341987,341,1671,1000,0.401556
20,5,100,361730,361,1866,1177,0.369239
20,5,100,325458,325,1733,1107,0.361223
20,5,100,345054,345,1808,1122,0.379425
20,5,100,346599,346,1662,1152,0.306859
20,5,100,326885,326,1756,1097,0.375285
20,5,100,335851,335,1676,1138,0.321002
20,5,100,343770,343,1691,1009,0.403312
20,10,100,544974,544,2417,1178,0.512619
20,10,100,518784,518,2388,1177,0.507119
20,10,100,609406,609,2187,1217,0.44353
20,10,100,611554,611,2082,1071,0.485591
20,10,100,566498,566,2128,1154,0.457707
20,10,100,597998,597,2097,1099,0.475918
20,10,100,605627,605,2294,1194,0.479512
20,10,100,623475,623,2353,1108,0.529112
20,10,100,626313,626,2220,1251,0.436486
20,10,100,604579,604,2265,1158,0.488742
20,20,100,1221028,1221,3333,1217,0.634863
20,20,100,1341868,1341,3038,1084,0.643186
20,20,100,1139787,1139,3330,1159,0.651952
20,20,100,1151873,1151,3272,1226,0.625306
20,20,100,1296913,1296,3271,1188,0.636808
20,20,100,1335333,1335,3320,1218,0.633133
20,20,100,1251545,1251,3385,1175,0.65288
20,20,100,1144697,1144,3191,1288,0.596365
20,20,100,1200023,1200,3370,1183,0.648961
20,20,100,1132403,1132,3084,1223,0.603437
50,5,100,1369455,1369,3590,2674,0.255153
50,5,100,1363745,1363,4027,2742,0.319096
50,5,100,1587491,1587,3688,2551,0.308297
50,5,100,1697778,1697,4056,2679,0.339497
50,5,100,1452773,1452,3828,2784,0.272727
50,5,100,1641059,1641,4091,2744,0.329259
50,5,100,1749280,1749,4079,2625,0.35646
50,5,100,1375688,1375,3930,2650,0.3257
50,5,100,1376514,1376,3669,2469,0.327065
50,5,100,1498831,1498,4172,2718,0.348514
50,10,100,2728620,2728,4780,2730,0.42887
50,10,100,2759800,2759,4581,2538,0.445972
50,10,100,2681251,2681,4645,2683,0.42239
50,10,100,2706049,2706,4650,2784,0.40129
50,10,100,2600770,2600,4794,2718,0.433041
50,10,100,2599276,2599,4512,2694,0.402926
50,10,100,2622703,2622,4719,2779,0.411104
50,10,100,2739070,2739,4559,2780,0.390217
50,10,100,2681040,2681,4462,2653,0.405424
50,10,100,2640355,2640,4611,2763,0.400781
50,20,100,3950164,3950,5967,2897,0.514496
50,20,100,3969721,3969,5775,2894,0.498874
50,20,100,5461066,5461,5824,2751,0.527644
50,20,100,5170191,5170,5991,2800,0.532632
50,20,100,5547481,5547,5892,2793,0.525967
50,20,100,5257164,5257,5794,2918,0.496376
50,20,100,5268310,5268,5885,2876,0.5113
50,20,100,5609903,5609,5620,2813,0.499466
50,20,100,5636252,5636,5779,2912,0.496107
50,20,100,5498475,5498,5973,2829,0.526369
100,5,100,7563158,7563,7372,5381,0.270076
100,5,100,6823161,6823,7299,5162,0.29278
100,5,100,7059501,7059,7208,5108,0.291343
100,5,100,6989888,6989,6793,4935,0.273517
100,5,100,7480799,7480,7279,5174,0.289188
100,5,100,7341828,7341,7235,5032,0.304492
100,5,100,7415527,7415,7159,5181,0.276296
100,5,100,7112674,7112,6990,5003,0.284263
100,5,100,7322001,7322,7728,5363,0.30603
100,5,100,8164244,8164,7372,5254,0.287303
100,10,100,12581888,12581,8603,5636,0.34488
100,10,100,11643208,11643,8288,5182,0.374759
100,10,100,16284136,16284,8248,5500,0.333172
100,10,100,17170316,17170,8919,5539,0.378966
100,10,100,16099657,16099,8745,5290,0.395083
100,10,100,16467896,16467,7892,5114,0.352002
100,10,100,15351577,15351,8390,5401,0.356257
100,10,100,14819253,14819,8622,5333,0.381466
100,10,100,15298449,15298,8418,5566,0.338798
100,10,100,15667652,15667,8476,5576,0.342143
100,20,100,32944773,32944,9757,5357,0.450958
100,20,100,32315455,32315,9653,5500,0.430229
100,20,100,32237035,32237,10059,5536,0.449647
100,20,100,30159746,30159,9693,5614,0.420819
100,20,100,30074403,30074,10047,5445,0.458047
100,20,100,30485090,30485,10191,5584,0.452066
100,20,100,30807929,30807,9762,5507,0.435874
100,20,100,29584778,29584,10396,5472,0.473644
100,20,100,31635988,31635,9970,5395,0.458877
100,20,100,32235143,32235,9599,5772,0.398687
200,10,100,78543176,78543,16099,10616,0.34058
200,10,100,71527355,71527,15862,10230,0.355062
200,10,100,111221153,111221,15793,10699,0.322548
200,10,100,104693792,104693,15376,10647,0.307557
200,10,100,106719408,106719,15639,10313,0.340559
200,10,100,104852258,104852,15532,10124,0.348184
200,10,100,124611869,124611,16098,10612,0.340788
200,10,100,124631055,124631,15852,10480,0.338885
200,10,100,122461777,122461,15390,10259,0.333398
200,10,100,124084342,124084,15562,10451,0.328428
200,20,100,259533971,259533,17735,10498,0.408063
200,20,100,256979417,256979,17287,10445,0.395789
200,20,100,259436362,259436,17646,10642,0.396917
200,20,100,260161428,260161,17744,10616,0.401713
200,20,100,220054365,220054,17763,10674,0.399088
200,20,100,217255845,217255,17787,10653,0.401079
200,20,100,220614268,220614,18298,10764,0.411739
200,20,100,217960115,217960,17891,10597,0.407691
200,20,100,203924393,203924,17598,10384,0.409933
200,20,100,202079355,202079,17473,10607,0.392949
500,20,100,1847204350,1847204,39967,25464,0.362874
500,20,100,1693481868,1693481,40805,25898,0.365323
500,20,100,3277226800,3277226,39762,25789,0.351416
500,20,100,3193935584,3193935,40371,25903,0.358376
500,20,100,3251814573,3251814,39840,25693,0.355095
500,20,100,3152135991,3152135,40025,25841,0.354379
500,20,100,2829356171,2829356,40354,25793,0.360832
500,20,100,2826354830,2826354,40198,26012,0.352903
500,20,100,2827007355,2827007,39465,25405,0.356265
